No.,Word,Pinyin,POS,Topic,Definition,HSK Level
348,担心,dānxīn,动词,日常生活与情感,to worry; to be anxious,HSK 2.0 Level 3
349,蛋糕,dàngāo,名词,消费与休闲,cake,HSK 2.0 Level 3
350,当然,dāngrán,副词,语法功能词,of course; certainly,HSK 2.0 Level 3
351,地,de,助词,语法功能词,(adverbial particle),HSK 2.0 Level 3
352,灯,dēng,名词,日常生活与情感,lamp; light,HSK 2.0 Level 3
353,低,dī,形容词,日常生活与情感,low; down,HSK 2.0 Level 3
354,地方,dìfang,名词,旅行与交通,place; area,HSK 2.0 Level 3
355,地铁,dìtiě,名词,旅行与交通,subway; metro,HSK 2.0 Level 3
356,地图,dìtú,名词,旅行与交通,map,HSK 2.0 Level 3
357,电梯,diàntī,名词,旅行与交通,elevator; lift,HSK 2.0 Level 3
358,电子邮件,diànzǐ yóujiàn,名词,职场与教育,email,HSK 2.0 Level 3
359,冬,dōng,名词,科技与环境,winter,HSK 2.0 Level 3
