No.,Word,Pinyin,POS,Topic,Definition,HSK Level
76,号,hào,名词,日常生活与情感,date; number,HSK 3.0 Level 1
77,喝,hē,动词,日常生活与情感,to drink,HSK 3.0 Level 1
78,和,hé,连词,语法功能词,and; with,HSK 3.0 Level 1
79,很,hěn,副词,语法功能词,very; quite,HSK 3.0 Level 1
80,后,hòu,名词,日常生活与情感,back; behind; after,HSK 3.0 Level 1
81,回,huí,动词,旅行与交通,to return; to go back,HSK 3.0 Level 1
82,会,huì,动词,职场与教育,can; to know how to; meeting,HSK 3.0 Level 1
83,火车,huǒchē,名词,旅行与交通,train,HSK 3.0 Level 1
84,鸡蛋,jīdàn,名词,日常生活与情感,egg,HSK 3.0 Level 1
85,几,jǐ,代词,语法功能词,how many; several,HSK 3.0 Level 1
86,家,jiā,名词,日常生活与情感,home; family,HSK 3.0 Level 1
87,家人,jiārén,名词,日常生活与情感,family members,HSK 3.0 Level 1
88,见,jiàn,动词,人际交往,to see; to meet,HSK 3.0 Level 1
89,件,jiàn,量词,语法功能词,(measure word for matters or clothes),HSK 3.0 Level 1
90,饺子,jiǎozi,名词,日常生活与情感,dumpling,HSK 3.0 Level 1
91,叫,jiào,动词,人际交往,to be called; to call,HSK 3.0 Level 1
92,姐姐,jiějie,名词,日常生活与情感,elder sister,HSK 3.0 Level 1
93,今年,jīnnián,名词,日常生活与情感,this year,HSK 3.0 Level 1
94,今天,jīntiān,名词,日常生活与情感,today,HSK 3.0 Level 1
95,九,jiǔ,数词,语法功能词,nine,HSK 3.0 Level 1
96,觉得,juéde,动词,日常生活与情感,to feel; to think,HSK 3.0 Level 1
97,开,kāi,动词,旅行与交通,to drive; to open; to start,HSK 3.0 Level 1
98,开车,kāichē,动词,旅行与交通,to drive a car,HSK 3.0 Level 1
99,看,kàn,动词,日常生活与情感,to look; to watch; to read,HSK 3.0 Level 1
100,看病,kànbìng,动词,健康与运动,to see a doctor; to see a patient,HSK 3.0 Level 1
101,看见,kànjiàn,动词,日常生活与情感,to see; to catch sight of,HSK 3.0 Level 1
102,可以,kěyǐ,动词,语法功能词,can; may,HSK 3.0 Level 1
103,课,kè,名词,职场与教育,class; lesson,HSK 3.0 Level 1
104,口,kǒu,量词,语法功能词,measure word for family members or mouthfuls,HSK 3.0 Level 1
105,块,kuài,量词,语法功能词,piece; yuan,HSK 3.0 Level 1
106,来,lái,动词,旅行与交通,to come; to arrive,HSK 3.0 Level 1
107,老师,lǎoshī,名词,职场与教育,teacher,HSK 3.0 Level 1
108,了,le,助词,语法功能词,(modal/aspect particle indicating change or completion),HSK 3.0 Level 1
109,冷,lěng,形容词,科技与环境,cold,HSK 3.0 Level 1
110,里,lǐ,名词,日常生活与情感,inside; in,HSK 3.0 Level 1
111,两,liǎng,数词,语法功能词,two; a couple of,HSK 3.0 Level 1
112,零,líng,数词,语法功能词,zero,HSK 3.0 Level 1
113,六,liù,数词,语法功能词,six,HSK 3.0 Level 1
114,妈妈,māma,名词,日常生活与情感,mother; mom,HSK 3.0 Level 1
115,吗,ma,助词,语法功能词,(question particle),HSK 3.0 Level 1
116,买,mǎi,动词,消费与休闲,to buy; to purchase,HSK 3.0 Level 1
117,卖,mài,动词,消费与休闲,to sell,HSK 3.0 Level 1
118,忙,máng,形容词,日常生活与情感,busy,HSK 3.0 Level 1
119,猫,māo,名词,日常生活与情感,cat,HSK 3.0 Level 1
120,没关系,méi guānxi,动词,人际交往,that is all right; never mind,HSK 3.0 Level 1
121,没事,méishì,动词,日常生活与情感,it is okay; free; have nothing to do,HSK 3.0 Level 1
122,没有,méiyǒu,动词,日常生活与情感,not have; there is not; not as... as,HSK 3.0 Level 1
123,妹妹,mèimei,名词,日常生活与情感,younger sister,HSK 3.0 Level 1
124,们,men,助词,语法功能词,(plural pronoun suffix),HSK 3.0 Level 1
125,米饭,mǐfàn,名词,日常生活与情感,cooked rice,HSK 3.0 Level 1
126,面包,miànbāo,名词,日常生活与情感,bread,HSK 3.0 Level 1
127,面条儿,miàntiáor,名词,日常生活与情感,noodles,HSK 3.0 Level 1
128,明年,míngnián,名词,日常生活与情感,next year,HSK 3.0 Level 1
129,明天,míngtiān,名词,日常生活与情感,tomorrow,HSK 3.0 Level 1
130,名字,míngzi,名词,人际交往,name,HSK 3.0 Level 1
131,哪,nǎ,代词,语法功能词,which; what,HSK 3.0 Level 1
132,哪个,nǎge,代词,语法功能词,which one,HSK 3.0 Level 1
133,哪里,nǎlǐ,代词,语法功能词,where; everywhere; (polite reply),HSK 3.0 Level 1
134,哪儿,nǎr,代词,语法功能词,where,HSK 3.0 Level 1
135,哪些,nǎxiē,代词,语法功能词,which ones,HSK 3.0 Level 1
136,那,nà,代词,语法功能词,that; then,HSK 3.0 Level 1
137,那边,nàbiān,名词,日常生活与情感,over there; that side,HSK 3.0 Level 1
138,那个,nàge,代词,语法功能词,that one,HSK 3.0 Level 1
139,那里,nàlǐ,代词,语法功能词,there,HSK 3.0 Level 1
140,那儿,nàr,代词,语法功能词,there,HSK 3.0 Level 1
141,那些,nàxiē,代词,语法功能词,those,HSK 3.0 Level 1
142,男,nán,形容词,日常生活与情感,male; man,HSK 3.0 Level 1
143,男朋友,nánpéngyou,名词,人际交往,boyfriend,HSK 3.0 Level 1
144,呢,ne,助词,语法功能词,(modal particle indicating continuation or question),HSK 3.0 Level 1
145,能,néng,动词,语法功能词,can; to be able to,HSK 3.0 Level 1
146,你,nǐ,代词,语法功能词,you,HSK 3.0 Level 1
147,你好,nǐ hǎo,动词,人际交往,hello; hi,HSK 3.0 Level 1
148,你们,nǐmen,代词,语法功能词,you (plural),HSK 3.0 Level 1
149,年,nián,名词,日常生活与情感,year,HSK 3.0 Level 1
150,您,nín,代词,语法功能词,you (polite),HSK 3.0 Level 1
151,牛奶,niúnǎi,名词,日常生活与情感,milk,HSK 3.0 Level 1
152,女,nǚ,形容词,日常生活与情感,female; woman,HSK 3.0 Level 1
153,女儿,nǚ'ér,名词,日常生活与情感,daughter,HSK 3.0 Level 1
154,女朋友,nǚpéngyou,名词,人际交往,girlfriend,HSK 3.0 Level 1
155,女士,nǚshì,名词,人际交往,lady; madam; Ms.,HSK 3.0 Level 1
156,朋友,péngyou,名词,人际交往,friend,HSK 3.0 Level 1
157,便宜,piányi,形容词,消费与休闲,cheap; inexpensive,HSK 3.0 Level 1
158,漂亮,piàoliang,形容词,日常生活与情感,beautiful; pretty,HSK 3.0 Level 1
159,苹果,píngguǒ,名词,日常生活与情感,apple,HSK 3.0 Level 1
160,七,qī,数词,语法功能词,seven,HSK 3.0 Level 1
161,起床,qǐchuáng,动词,日常生活与情感,to get up; to wake up,HSK 3.0 Level 1
162,千,qiān,数词,语法功能词,thousand,HSK 3.0 Level 1
163,前,qián,名词,日常生活与情感,front; ahead; before,HSK 3.0 Level 1
164,钱,qián,名词,消费与休闲,money,HSK 3.0 Level 1
165,请,qǐng,动词,人际交往,please; to invite; to treat,HSK 3.0 Level 1
166,请问,qǐngwèn,动词,人际交往,excuse me; may I ask,HSK 3.0 Level 1
167,去,qù,动词,旅行与交通,to go,HSK 3.0 Level 1
168,去年,qùnián,名词,日常生活与情感,last year,HSK 3.0 Level 1
169,热,rè,形容词,科技与环境,hot,HSK 3.0 Level 1
170,人,rén,名词,日常生活与情感,person; people,HSK 3.0 Level 1
171,认识,rènshi,动词,人际交往,to know; to recognize,HSK 3.0 Level 1
172,日,rì,名词,日常生活与情感,day; date; sun,HSK 3.0 Level 1
173,三,sān,数词,语法功能词,three,HSK 3.0 Level 1
174,商店,shāngdiàn,名词,消费与休闲,shop; store,HSK 3.0 Level 1
175,上,shàng,名词,日常生活与情感,above; on; to go up,HSK 3.0 Level 1
176,上班,shàngbān,动词,职场与教育,to go to work; to be on duty,HSK 3.0 Level 1
177,上课,shàngkè,动词,职场与教育,to attend class; to give class,HSK 3.0 Level 1
178,上午,shàngwǔ,名词,日常生活与情感,morning; forenoon,HSK 3.0 Level 1
179,上学,shàngxué,动词,职场与教育,to go to school; to study,HSK 3.0 Level 1
180,少,shǎo,形容词,日常生活与情感,few; little; lack,HSK 3.0 Level 1
181,谁,shéi,代词,语法功能词,who; whom,HSK 3.0 Level 1
182,什么,shénme,代词,语法功能词,what,HSK 3.0 Level 1
183,生病,shēngbìng,动词,健康与运动,to fall ill; to get sick,HSK 3.0 Level 1
184,十,shí,数词,语法功能词,ten,HSK 3.0 Level 1
185,时候,shíhou,名词,日常生活与情感,time; moment,HSK 3.0 Level 1
186,时间,shíjiān,名词,日常生活与情感,time,HSK 3.0 Level 1
187,事,shì,名词,日常生活与情感,thing; matter; business,HSK 3.0 Level 1
188,是,shì,动词,语法功能词,to be; yes,HSK 3.0 Level 1
189,手机,shǒujī,名词,科技与环境,mobile phone; cellphone,HSK 3.0 Level 1
190,书,shū,名词,职场与教育,book,HSK 3.0 Level 1
191,书店,shūdiàn,名词,消费与休闲,bookstore,HSK 3.0 Level 1
192,水,shuǐ,名词,日常生活与情感,water,HSK 3.0 Level 1
193,水果,shuǐguǒ,名词,日常生活与情感,fruit,HSK 3.0 Level 1
194,睡,shuì,动词,日常生活与情感,to sleep; to go to bed,HSK 3.0 Level 1
195,睡觉,shuìjiào,动词,日常生活与情感,to sleep; to go to bed,HSK 3.0 Level 1
196,说,shuō,动词,人际交往,to speak; to say,HSK 3.0 Level 1
197,说话,shuōhuà,动词,人际交往,to speak; to talk,HSK 3.0 Level 1
198,四,sì,数词,语法功能词,four,HSK 3.0 Level 1
199,岁,suì,量词,语法功能词,year of age,HSK 3.0 Level 1
200,他,tā,代词,语法功能词,he; him,HSK 3.0 Level 1
201,它,tā,代词,语法功能词,it,HSK 3.0 Level 1
202,她,tā,代词,语法功能词,she; her,HSK 3.0 Level 1
203,他们,tāmen,代词,语法功能词,they; them (male or mixed),HSK 3.0 Level 1
204,它们,tāmen,代词,语法功能词,they; them (for non-human objects and animals),HSK 3.0 Level 1
205,她们,tāmen,代词,语法功能词,they; them (female),HSK 3.0 Level 1
206,太,tài,副词,语法功能词,too; extremely,HSK 3.0 Level 1
207,天,tiān,名词,科技与环境,sky; day,HSK 3.0 Level 1
208,天气,tiānqì,名词,科技与环境,weather,HSK 3.0 Level 1
209,听,tīng,动词,日常生活与情感,to listen; to hear,HSK 3.0 Level 1
210,听见,tīngjiàn,动词,日常生活与情感,to hear,HSK 3.0 Level 1
211,同学,tóngxué,名词,职场与教育,classmate,HSK 3.0 Level 1
212,外,wài,名词,日常生活与情感,outside; exterior,HSK 3.0 Level 1
213,外边,wàibian,名词,日常生活与情感,outside; outer side,HSK 3.0 Level 1
214,玩,wán,动词,消费与休闲,to play; to have fun,HSK 3.0 Level 1
215,晚,wǎn,形容词,日常生活与情感,late,HSK 3.0 Level 1
216,晚饭,wǎnfàn,名词,日常生活与情感,dinner; supper,HSK 3.0 Level 1
217,晚上,wǎnshang,名词,日常生活与情感,evening; night,HSK 3.0 Level 1
218,喂,wèi,叹词,人际交往,hello; hey,HSK 3.0 Level 1
219,问,wèn,动词,人际交往,to ask; to inquire,HSK 3.0 Level 1
220,问题,wèntí,名词,职场与教育,question; problem,HSK 3.0 Level 1
221,我,wǒ,代词,语法功能词,I; me,HSK 3.0 Level 1
222,我们,wǒmen,代词,语法功能词,we; us,HSK 3.0 Level 1
223,五,wǔ,数词,语法功能词,five,HSK 3.0 Level 1
224,午饭,wǔfàn,名词,日常生活与情感,lunch; midday meal,HSK 3.0 Level 1
225,喜欢,xǐhuan,动词,日常生活与情感,to like; to love,HSK 3.0 Level 1
226,下,xià,名词,日常生活与情感,below; under; to descend,HSK 3.0 Level 1
227,下雨,xià yǔ,动词,科技与环境,to rain,HSK 3.0 Level 1
228,下班,xiàbān,动词,职场与教育,to get off work; to finish work,HSK 3.0 Level 1
229,下课,xiàkè,动词,职场与教育,to finish class; class is over,HSK 3.0 Level 1
230,下午,xiàwǔ,名词,日常生活与情感,afternoon,HSK 3.0 Level 1
231,先生,xiānsheng,名词,人际交往,Mr.; sir,HSK 3.0 Level 1
232,现在,xiànzài,名词,日常生活与情感,now; at present,HSK 3.0 Level 1
233,想,xiǎng,动词,日常生活与情感,to think; to miss; to want,HSK 3.0 Level 1
234,小,xiǎo,形容词,日常生活与情感,small; little,HSK 3.0 Level 1
235,小朋友,xiǎopéngyǒu,名词,人际交往,child; kid,HSK 3.0 Level 1
236,小时,xiǎoshí,名词,日常生活与情感,hour,HSK 3.0 Level 1
237,小学,xiǎoxué,名词,职场与教育,primary school; elementary school,HSK 3.0 Level 1
238,小学生,xiǎoxuéshēng,名词,职场与教育,primary school student,HSK 3.0 Level 1
239,些,xiē,量词,语法功能词,some; a few,HSK 3.0 Level 1
240,写,xiě,动词,职场与教育,to write,HSK 3.0 Level 1
241,谢谢,xièxie,动词,人际交往,to thank; thanks,HSK 3.0 Level 1
242,新,xīn,形容词,日常生活与情感,new,HSK 3.0 Level 1
243,星期,xīngqī,名词,日常生活与情感,week,HSK 3.0 Level 1
244,星期日,xīngqīrì,名词,日常生活与情感,Sunday,HSK 3.0 Level 1
245,星期天,xīngqītiān,名词,日常生活与情感,Sunday,HSK 3.0 Level 1
246,休息,xiūxi,动词,健康与运动,to rest; to take a break,HSK 3.0 Level 1
247,学,xué,动词,职场与教育,to study; to learn,HSK 3.0 Level 1
248,学生,xuéshēng,名词,职场与教育,student,HSK 3.0 Level 1
249,学习,xuéxí,动词,职场与教育,to study; to learn,HSK 3.0 Level 1
250,学校,xuéxiào,名词,职场与教育,school,HSK 3.0 Level 1
251,雪,xuě,名词,科技与环境,snow,HSK 3.0 Level 1
252,要,yào,动词,日常生活与情感,to want; to need; will,HSK 3.0 Level 1
253,也,yě,副词,语法功能词,also; too,HSK 3.0 Level 1
254,一,yī,数词,语法功能词,one,HSK 3.0 Level 1
255,衣服,yīfu,名词,日常生活与情感,clothes; clothing,HSK 3.0 Level 1
256,医生,yīshēng,名词,健康与运动,doctor; physician,HSK 3.0 Level 1
257,医院,yīyuàn,名词,健康与运动,hospital,HSK 3.0 Level 1
258,一半,yíbàn,数词,语法功能词,half; one half,HSK 3.0 Level 1
259,一下,yíxià,量词,语法功能词,once; a bit; in a short while,HSK 3.0 Level 1
260,椅子,yǐzi,名词,日常生活与情感,chair,HSK 3.0 Level 1
261,一点儿,yìdiǎnr,量词,语法功能词,a little; a bit,HSK 3.0 Level 1
262,一些,yìxiē,代词,语法功能词,some; a few,HSK 3.0 Level 1
263,有,yǒu,动词,日常生活与情感,to have; there be,HSK 3.0 Level 1
264,有的,yǒude,代词,语法功能词,some; some of,HSK 3.0 Level 1
265,有点儿,yǒudiǎnr,副词,语法功能词,a bit; slightly,HSK 3.0 Level 1
266,有些,yǒuxiē,代词,语法功能词,some; some of,HSK 3.0 Level 1
267,雨,yǔ,名词,科技与环境,rain,HSK 3.0 Level 1
268,元,yuán,量词,语法功能词,yuan; currency unit,HSK 3.0 Level 1
269,月,yuè,名词,日常生活与情感,month; moon,HSK 3.0 Level 1
270,再,zài,副词,语法功能词,again; once more,HSK 3.0 Level 1
271,在,zài,介词,语法功能词,at; in; on,HSK 3.0 Level 1
272,再见,zàijiàn,动词,人际交往,goodbye; see you again,HSK 3.0 Level 1
273,早,zǎo,形容词,日常生活与情感,early; morning,HSK 3.0 Level 1
274,早饭,zǎofàn,名词,日常生活与情感,breakfast,HSK 3.0 Level 1
275,早上,zǎoshang,名词,日常生活与情感,morning,HSK 3.0 Level 1
276,怎么,zěnme,代词,语法功能词,how; why,HSK 3.0 Level 1
277,怎么样,zěnmeyàng,代词,语法功能词,how about; how is it,HSK 3.0 Level 1
278,找,zhǎo,动词,日常生活与情感,to look for; to find,HSK 3.0 Level 1
279,这,zhè,代词,语法功能词,this,HSK 3.0 Level 1
280,这边,zhèbiān,名词,日常生活与情感,this side; here,HSK 3.0 Level 1
281,这个,zhège,代词,语法功能词,this one,HSK 3.0 Level 1
282,这里,zhèlǐ,代词,语法功能词,here,HSK 3.0 Level 1
283,这儿,zhèr,代词,语法功能词,here,HSK 3.0 Level 1
284,这些,zhèxiē,代词,语法功能词,these,HSK 3.0 Level 1
285,真,zhēn,副词,语法功能词,really; truly,HSK 3.0 Level 1
286,正在,zhèngzài,副词,语法功能词,in the process of; currently,HSK 3.0 Level 1
287,只,zhī,副词,语法功能词,only; merely,HSK 3.0 Level 1
288,知道,zhīdào,动词,日常生活与情感,to know; to realize,HSK 3.0 Level 1
289,中国,Zhōngguó,名词,旅行与交通,China,HSK 3.0 Level 1
290,中文,Zhōngwén,名词,职场与教育,Chinese; Chinese language,HSK 3.0 Level 1
291,中午,zhōngwǔ,名词,日常生活与情感,noon; midday,HSK 3.0 Level 1
292,中学,zhōngxué,名词,职场与教育,middle school; high school,HSK 3.0 Level 1
293,中学生,zhōngxuéshēng,名词,职场与教育,middle school student,HSK 3.0 Level 1
294,住,zhù,动词,日常生活与情感,to live; to stay,HSK 3.0 Level 1
295,桌子,zhuōzi,名词,日常生活与情感,table; desk,HSK 3.0 Level 1
296,字,zì,名词,职场与教育,character; word,HSK 3.0 Level 1
297,昨天,zuótiān,名词,日常生活与情感,yesterday,HSK 3.0 Level 1
298,坐,zuò,动词,旅行与交通,to sit; to ride,HSK 3.0 Level 1
299,做,zuò,动词,日常生活与情感,to do; to make,HSK 3.0 Level 1
300,做饭,zuò fàn,动词,日常生活与情感,to cook; to prepare meals,HSK 3.0 Level 1
301,啊,a,叹词,语法功能词,ah; oh,HSK 2.0 Level 2
302,爱好,àihào,名词,消费与休闲,hobby; interest,HSK 2.0 Level 2
303,白色,báisè,名词,日常生活与情感,white color; white,HSK 2.0 Level 2
304,班,bān,名词,职场与教育,class; shift,HSK 2.0 Level 2
305,帮,bāng,动词,人际交往,to help; to assist,HSK 2.0 Level 2
306,帮忙,bāngmáng,动词,人际交往,to help; to do a favor,HSK 2.0 Level 2
307,包,bāo,名词,消费与休闲,bag; package,HSK 2.0 Level 2
308,本子,běnzi,名词,职场与教育,notebook; exercise book,HSK 2.0 Level 2
309,比,bǐ,介词,语法功能词,than; to compare,HSK 2.0 Level 2
310,笔,bǐ,名词,职场与教育,pen; pencil; writing instrument,HSK 2.0 Level 2
311,别,bié,副词,语法功能词,do not,HSK 2.0 Level 2
312,不错,búcuò,形容词,日常生活与情感,not bad; pretty good,HSK 2.0 Level 2
313,不好意思,bùhǎoyìsi,形容词,人际交往,embarrassed; sorry; shy,HSK 2.0 Level 2
314,长,cháng,形容词,日常生活与情感,long,HSK 2.0 Level 2
315,车站,chēzhàn,名词,旅行与交通,station; stop,HSK 2.0 Level 2
316,出,chū,动词,旅行与交通,to go out; to come out,HSK 2.0 Level 2
317,出国,chūguó,动词,旅行与交通,to go abroad,HSK 2.0 Level 2
318,出来,chūlái,动词,日常生活与情感,to come out; to emerge,HSK 2.0 Level 2
319,出门,chūmén,动词,日常生活与情感,to go out; to leave home,HSK 2.0 Level 2
320,出去,chūqù,动词,日常生活与情感,to go out,HSK 2.0 Level 2
321,床,chuáng,名词,日常生活与情感,bed,HSK 2.0 Level 2
322,词,cí,名词,职场与教育,word; term,HSK 2.0 Level 2
323,次,cì,量词,语法功能词,(measure word for frequency); time,HSK 2.0 Level 2
324,从,cóng,介词,语法功能词,from; since,HSK 2.0 Level 2
325,从小,cóngxiǎo,副词,语法功能词,from childhood,HSK 2.0 Level 2
326,错,cuò,形容词,日常生活与情感,wrong; incorrect,HSK 2.0 Level 2
327,打,dǎ,动词,健康与运动,to play (ball games); to hit; to beat,HSK 2.0 Level 2
328,打车,dǎchē,动词,旅行与交通,to take a taxi,HSK 2.0 Level 2
329,打开,dǎkāi,动词,日常生活与情感,to open; to unfold; to turn on,HSK 2.0 Level 2
330,但,dàn,连词,语法功能词,but; yet,HSK 2.0 Level 2
331,但是,dànshì,连词,语法功能词,but; however,HSK 2.0 Level 2
332,得,de,助词,语法功能词,(structural particle),HSK 2.0 Level 2
333,地,de,助词,语法功能词,(adverbial particle),HSK 2.0 Level 2
334,等,děng,动词,日常生活与情感,to wait; to await,HSK 2.0 Level 2
335,地铁,dìtiě,名词,旅行与交通,subway; metro,HSK 2.0 Level 2
336,点,diǎn,动词,消费与休闲,to order (food); to click; to light,HSK 2.0 Level 2
337,懂,dǒng,动词,职场与教育,to understand; to know,HSK 2.0 Level 2
338,动,dòng,动词,健康与运动,to move; to stir,HSK 2.0 Level 2
339,饭馆,fànguǎn,名词,消费与休闲,restaurant,HSK 2.0 Level 2
340,飞,fēi,动词,科技与环境,to fly,HSK 2.0 Level 2
341,高,gāo,形容词,日常生活与情感,tall; high,HSK 2.0 Level 2
342,高中,gāozhōng,名词,职场与教育,senior high school,HSK 2.0 Level 2
343,告诉,gàosu,动词,人际交往,to tell; to inform,HSK 2.0 Level 2
344,个子,gèzi,名词,日常生活与情感,height; stature,HSK 2.0 Level 2
345,跟,gēn,介词,语法功能词,with; to follow,HSK 2.0 Level 2
346,公交车,gōngjiāochē,名词,旅行与交通,bus; public bus,HSK 2.0 Level 2
347,过,guò,助词,语法功能词,(aspect particle indicating past experience),HSK 2.0 Level 2
348,过,guo,动词,日常生活与情感,to spend (time); to cross; to pass,HSK 2.0 Level 2
349,过来,guòlái,动词,日常生活与情感,to come over,HSK 2.0 Level 2
350,过年,guònián,动词,日常生活与情感,to celebrate the New Year,HSK 2.0 Level 2
351,过去,guòqù,动词,日常生活与情感,to go over; past,HSK 2.0 Level 2
352,还是,háishi,连词,语法功能词,or; still,HSK 2.0 Level 2
353,黑色,hēisè,名词,日常生活与情感,black color; black,HSK 2.0 Level 2
354,红茶,hóngchá,名词,日常生活与情感,black tea,HSK 2.0 Level 2
355,红色,hóngsè,名词,日常生活与情感,red color; red,HSK 2.0 Level 2
356,后面,hòumiàn,名词,日常生活与情感,back; behind,HSK 2.0 Level 2
